Nom de l'offre touristique;Type de l'offre;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Type de plateforme/url;Url pour accéder à la vidéo;Code Embed pour intégrer une video;Widget tripadvisor;Catégorie de la fête ou manifestation;Equipements;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;SPaccessibilite;Confort pour les hébergements collectifs;Labels;Classement dans un label;Présence l'offre sur les grands itinéraires vélo;Langues parlées à l'accueil;Services proposés sur place;Groupe accepté: oui / non;Nombre personnes max par dortoir;Nombre chambres;Nombre total d'hébergements / logements;Nombre lits;Nombre personnes;Ouverture 24h / 24h: oui / non;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Nom du contact/Tel contact/mail contact;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarif(s);Modes de paiement acceptés;CapaciteNbChambresFamiliales;CapaciteNbChambresMobReduite;CapaciteNbEmplacements;CapaciteNbEmplacementsCampingCar;CapaciteNbEmplacementsLocatifs;CapaciteNbEmplacementsNus;CapaciteNbEmplacementsResidentiels;CapaciteNbEmplacementsSaison;CapaciteNbSalleReunion;CapaciteSurface;SyndicObjectID;localisation;departement
La Maison de Julise;Gîte de groupe;;;;Les Mazures;53230;COSSE-LE-VIVIEN;;53077;47.9426718;-0.8881288;;;07.83.46.63.10;;;www.lamaisondejulise.fr;Facebook||https://www.facebook.com/La-Maison-De-Julise-1774741322749548;;;;Non classé;;;;;non;Cuisine professionnelle,Salle de réception;;;;;;;;4;;;17;;oui;;La Maison de Julise||02 43 98 27 85||paul.leterme@wanadoo.fr;;;Forfait location privative de l'hébergement||1000,00||2300,00||LOCATION SALLE + COUCHAGES;Chèques bancaires et postaux;;;;;;;;;;;HCOLLPDL053V5015WP;47.9426718, -0.8881288;Mayenne
Maison Familiale Rurale Aigrefeuille-sur-Maine;Centre d'accueil et/ou de vacances,Maison familiale;;;54 Avenue de Nantes;;44140;AIGREFEUILLE-SUR-MAINE;;44002;47.0787787;-1.4051055;;;02 40 06 61 30;;;https://mfr-aigrefeuille.com/;;;;;;;;;;non;;;;;;;;;;;;70;;;;;;;;;;;;;;;;;;;HCOLLPDL044V50VQU2;47.0787787, -1.4051055;Loire-Atlantique
GÎTE À LA FERME;Gîte de groupe;;;Le Chêne Tied;;44320;SAINT-VIAUD;;44192;47.2033;-1.99983;;07 61 67 71 92;;;;https://www.agence-tharonnaise.com/location-vacances/44-loire-atlantique/22-st-viaud/vacances-a-la-ferme/559-maison;;;;;;;;;;;;;;;;;;;6;;;14;;;;;;;;Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLLHCOLLRGITEALAFERME;47.2033, -1.99983;Loire-Atlantique
Brette Loisirs Réception;;;;Le Pâtis;;72250;BRETTE-LES-PINS;;72047;47.925792;0.314458;;07 77 46 37 63;;;;;;;;;;;;;;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HCOLLPDL072V50SRLF;47.925792, 0.314458;Sarthe
Hébergement de groupe - Domaine des Lochereaux;;;;Les Lochereaux;Louerre;49700;TUFFALUN;;49003;47.288722;-0.306736;;;02 41 50 24 73;;;http://domainedeslochereaux.fr/fr/domaine-des-lochereaux/;Facebook||https://www.facebook.com/leslochereaux/?fref=ts,Google+||https://www.google.com/maps?cid=4727832755253011263,Instagram||https://www.instagram.com/les_lochereaux/;;;;;;;;;;Parking,Terrain clos;;;;Français;;;;3;;;41;;;01/01/2025||31/12/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;;;;;;;;;;HCOLLPDL000V50036V;47.288722, -0.306736;Maine-et-Loire
Gîte La Bade;Maison familiale;;;Place de la Fleurenterie;;72300;PRECIGNE;;72244;47.764438;-0.3292024;;;;;;;;;;;Non classé;;;;;non;Parking,Salle de réception,Terrain clos;Gîtes de France;4 épis;;;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Nettoyage / ménage (gratuit),Prestation de restauration;;2;7;1;8;14;;;;;;;;Chèques bancaires et postaux,Virement;;;;;;;;;;;HCOLLPDL072V50ORXH;47.764438, -0.3292024;Sarthe
Le Razay - Fol 74;Centre d'accueil et/ou de vacances;;;Route du Razay;Village de Saint Sébastien;44420;PIRIAC-SUR-MER;;44125;47.36639;-2.52255;;;02 40 23 56 80;02 40 23 66 90;;http://www.fol74.org/ocean-piriac-sur-mer-le-razay;;;;;En cours de classement;Espace bien-être,Piscine couverte,WiFi;oui;;;;Parking,Salle de réception;Écolabel Européen;;;;Location/prêt de vélo;;;;;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLLHCOLLRLERAZAYFOL74;47.36639, -2.52255;Loire-Atlantique
Gîte La Garenne;Gîte d'étapes;;;Rue des Deux Ports;;49610;MURS-ERIGNE;;49223;47.403619;-0.531435;;;02 41 57 71 10;;;http://www.fol49.org/laligue49/le-centre-bouesse-la-garenne/;;;;;;WiFi;;;;non;Parking;Accueil Vélo,Gîtes de France,Group'A Vélo,La Loire à vélo,UNAT;3 épis;EV6-La Loire à Vélo,Loire Layon Aubance,Vélo Francette - Loire à Vélo;Anglais,Espagnol,Français;Location/prêt de vélo;;;8;;33;33;;;02/01/2024||30/12/2024||||||09:15||17:00||||||09:15||17:00||||||09:15||17:00||||||09:15||17:00||||||09:15||17:00||||||||||||||||||||;;;;;Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLLQGARENNE;47.403619, -0.531435;Maine-et-Loire
Les Moussaillons;Gîte de groupe;;;Rue du Bazar;;44770;PREFAILLES;;44136;47.12762;-2.21883;;;02 51 86 33 03;;;;;;;;;WiFi;non;;;;Cuisine professionnelle,Parking;;;;;;;;;;69;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;;;;;;;;;;;HCOLLHCOLLJHCOLLPDL044V5004K0;47.12762, -2.21883;Loire-Atlantique
Hébergement collectif TEST;;La Loge;;;Beaupréau;49600;BEAUPREAU-EN-MAUGES;;49023;47.209686;-0.9817779;;;;;;;;;;;;;;;;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HCOLLPDL049V50I95R;47.209686, -0.9817779;Maine-et-Loire
Gîte du Lac;Gîte de groupe;Lieu-dit Les Fontaines;;;;72140;SILLE-LE-GUILLAUME;;72334;48.201571;-0.1326827;;06 30 78 98 07;;;;;;https://www.youtube.com/watch?v=0pdkrRDz3HY&feature=emb_title;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/0pdkrRDz3HY"" frameborder=""0"" allow=""accelerometer,autoplay,encrypted-media,gyroscope,picture-in-picture"" allowfullscreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;;;;;;non;Cuisine professionnelle,Parking;;;;;Prestation de restauration;;;5;1;;15;;oui;;||06 30 78 98 07||contact@legitedulac.com;;;Forfait week-end / pers||||||600 € avec 15 couchages, cuisine et vaisselle.,Forfait location privative de l'hébergement||||||Le gîte avec 15 couchages + cuisine + vaisselle  : 1505 € la semaine (soit 7 jours). La location commence le samedi à 14 h et se termine le samedi suivant à 11h.,Une journée dans la semaine de 8h à 20h : 215 € (gîte avec cuisine et vaisselle).;;;;;;;;;;;;HCOLLPDL072V50D247;48.201571, -0.1326827;Sarthe
Gîte de groupe l'Ecotay;Gîte de groupe;;;;L'Ecotay;72240;TENNIE;;72351;48.0995198;-0.1195343;;06 76 64 04 13;02 43 20 59 34;;;http://www.gite-lecotay.com/;;;;;Non classé;;oui;;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;;;;Français;Fourniture de draps (gratuit),Option nettoyage / ménage;oui;7;9;1;31;140;non;oui;;M et Mme HOULBERT||02 43 20 59 34||gitelecotay@yahoo.fr;;;Forfait location privative de l'hébergement||||||A partir de 500€ le weekend;Chèques bancaires et postaux;;;;;;;;;;;HCOLLPDL072V500267;48.0995198, -0.1195343;Sarthe
Gîtes de la Charnie : La Coudraie;Gîte de groupe;;;;La Coudraie;72350;SAINT-DENIS-D'ORQUES;;72278;48.030024;-0.2530549;;06 95 87 94 15;;;;http://www.gites-charnie.com/;;;;;Non classé;;oui;;;non;Cuisine professionnelle,Parking,Salle de réception;;;;Anglais,Français;Location de draps,Option nettoyage / ménage,Prestation de restauration;oui;;6;;;15;oui;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Forfait location privative de l'hébergement||495,00||845,00||Prix à la semaine;Chèques bancaires et postaux,Chèques Vacances;;;;;;;;;;;HCOLLPDL072V509RS1;48.030024, -0.2530549;Sarthe
Domaine de la Haute Porte;Gîte de groupe;;;;La Haute Porte;72300;SOUVIGNE-SUR-SARTHE;;72343;47.84516;-0.41624;;;02 43 95 47 05;;;https://www.grandsgites.com/gite-72-haute-porte-3192.htm;;;;;Non classé;Piscine,WiFi;oui;;;non;Parking,Salle de réception,Terrain clos;;;;Anglais,Français;Location de draps,Location de linge,Option nettoyage / ménage;oui;;11;;20;30;;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Forfait week-end / pers||2700,00||3100,00||Le tarif minimum est pour la basse saison (hors Pâques, mai à fin septembre, vacances Noel),Forfait semaine / pers||4500,00||5900,00||Il s'agit d'un forfait semaine pour la mise à disposition de l'ensemble du domaine;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL072V50YBPA;47.84516, -0.41624;Sarthe
Gîtes de groupe la Douce Vie;Gîte de groupe;;;;Teuvais, Châteauneuf-sur-Sarthe;49330;LES HAUTS-D'ANJOU;;49080;47.694773;-0.512483;;06 70 06 80 97;;;;https://www.gitesdeladoucevie.fr/;;;;;;;oui;;;non;Cuisine professionnelle,Parking,Salle de réception;;;;Anglais,Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage / ménage (gratuit);oui;;13;3;;45;non;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;THOMAS Stéphanie||06 70 06 80 97||gitesdeladoucevie@gmail.com;;;Forfait location privative de l'hébergement||5300,00||5300,00||Forfait pour une location de l'ensemble le weekend,Taxe de séjour / nuit / pers||||||3% appliqué du 1er janvier au 31 décembre;Chèques bancaires et postaux,Chèques Vacances;;;;;;;;;;;HCOLLPDL049V50FCW7;47.694773, -0.512483;Maine-et-Loire
Gîtes de la Charnie : Valifer;Gîte de groupe;;;;Valifer;72350;SAINT-DENIS-D'ORQUES;;72278;48.030718;-0.242504;;06 95 87 94 15;;;;https://www.gites-charnie.com/;;;;;Non classé;;oui;;;non;Parking,Salle de réception,Terrain clos;;;;Anglais,Français;Location de draps,Location de linge,Prestation de restauration;oui;;6;25;;25;oui;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Forfait location privative de l'hébergement||695,00||1495,00||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Chèques Vacances Connect,Espèces,Virement;;;;;;;;;;;HCOLLPDL072V509RRS;48.030718, -0.242504;Sarthe
Gîte de groupe aux Portes de Nantes;Gîte de groupe;;;La Jaunière;;44450;SAINT-JULIEN-DE-CONCELLES;;44169;47.2224829;-1.415758;;;0663100915;;;;;;;;;WiFi;non;sur demande;;non;Cuisine professionnelle,Parking,Plain pied,Salle de réception;;;;Allemand,Anglais,Espagnol,Français;Location de draps,Location de linge,Option nettoyage / ménage,Prestation de restauration;oui;4;6;;11;15;;oui;;TESSON||06 63 10 09 15||aurelie.tesson@hotmail.com;;;Nuitée / hébergement||400,00||600,00||,Forfait mid-week / pers||800,00||800,00||;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL044V514ZG7;47.2224829, -1.415758;Loire-Atlantique
Maison Familiale Rurale La Rousselière;Gîte de groupe;;;300 rue des Meuniers;;49260;MONTREUIL-BELLAY;;49215;47.144152;-0.145219;;;02 41 83 19 19;;;https://www.cfa-mfr-larousseliere.fr;;;;;;;non;;;non;Cuisine professionnelle,Parking;;;;Français;;oui;133;34;;153;133;;oui;01/01/2025||30/11/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2026||30/11/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Nuitée / pers||13,50||||Tarif pour une nuit/pers. + 0.30€ de cotisation + la taxe de séjour. A partir de,Taxe de séjour / nuit / pers||0,80||0,80||Par adulte par nuit.;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLQZSHCROUSSELIERE;47.144152, -0.145219;Maine-et-Loire
Les Berges de la Monnerie;Centre d'accueil et/ou de vacances;;;Allée des Pouliers;;72200;LA FLECHE;;72154;47.7027692;-0.0475326;;;02 43 48 53 74;;;https://www.bergesdelamonnerie.fr;;http://fr.calameo.com/read/001428021e1c5b307b86e,http://www.360tour.fr/clients/ccpaysflechois/1/CC_Pays_Flechois_03_2012_visite_virtu_monnerie.html;;;Non classé;Défibrillateur,Local vélo,Piscine,WiFi;non;;;non;Cuisine professionnelle,Parking,Plain pied,Salle de réception,Terrain clos;Accueil Vélo;;La Vallée du Loir à vélo,Sarthe à Vélo;Anglais,Français;Fourniture de draps (gratuit),Location de linge,Location/prêt de vélo,Nettoyage / ménage (gratuit),Prestation de restauration;oui;4;36;;73;73;non;oui;;Marion DAVID||02 43 48 53 74||bergesdelamonnerie@cc-paysflechois.fr;;;Nuitée / pers||24,30||42,70||22,30€/pers. en chambre double,35,70€/pers. en chambre individuelle,Petit-déjeuner / pers||3,10||4,80||2,70€ par enfant de -10ans,4,20€ par adulte;Chèques bancaires et postaux;;;;;;;;;;;HCOLLPDL072V501OAX;47.7027692, -0.0475326;Sarthe
Gîtes de la Janais - ensemble 2 gîtes;Gîte de groupe,Gîte d'étapes;;;La Janais;;44540;LE PIN;;44124;47.605734;-1.169324;;07 83 63 55 78;;;;https://www.giteslajanais.fr/nos-gites/;Facebook||https://www.facebook.com/profile.php?id=100095038963979;;;;Non classé;Piscine,WiFi;non;;;non;Parking;;;;;Fourniture de draps (gratuit),Location de linge,Option nettoyage / ménage;oui;;4;2;13;16;oui;oui;;;oui;||https://www.giteslajanais.fr/nos-gites/||||||;Nuitée / hébergement||42,00||420,00||;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL044V51FCEB;47.605734, -1.169324;Loire-Atlantique
Domaine des Mille Oiseaux : Dortoir le Perchoir;Gîte de groupe;;;La Pironnière;;53170;VILLIERS-CHARLEMAGNE;;53273;47.9328139;-0.6808868;;06 95 04 76 55;;;;http://www.mille-oiseaux.com/;Facebook||https://www.facebook.com/domaine.milleoiseaux,Instagram||https://www.instagram.com/domainedesmilleoiseaux/;http://youtu.be/r4ZOyNvGei8;"<iframe width=""560"" height=""315"" src=""http://www.youtube.com/embed/r4ZOyNvGei8"" frameborder=""0"" allowfullscreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;Non classé;Défibrillateur,Local vélo,WiFi;non;;;non;Parking;;;;Anglais,Français;Location de draps,Option nettoyage / ménage;oui;10;2;1;14;14;;oui;;;oui;||paysdelaloire-mb-prestataire.for-system.com/z8515e3_fr-appartement-2-pieces-villiers-charlemagne.aspx?Param/CodeOs=OSMB-92418-5&Globales/ListeIdFournisseur=92418||||02 43 07 76 37||domaine.milleoiseaux@gmail.com;Forfait location privative de l'hébergement||90,00||110,00||Détails sur www.mille-oiseaux.com;Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLLPDL053V500SJE;47.9328139, -0.6808868;Mayenne
Gîte de groupe Aux Forges de la Rose;Gîte de groupe,Gîte d'étapes,Maison familiale;;;Le Carrefour;;72290;TEILLE;;72349;48.1875242;0.16240065;;;;;;;;https://youtu.be/sGJpM5mFlfg?si=RUDZpABVu9aTDz_5;;;Non classé;WiFi;;sur demande;;non;Cuisine professionnelle,Parking,Salle de réception;;;;Français;Location de draps,Location de linge,Option nettoyage / ménage;oui;5;10;4;31;38;oui;oui;;Leffray Marie Rose||06 69 60 70 65||leffray.gilbert@wanadoo.fr;;;;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL072V50JL8B;48.1875242, 0.16240065;Sarthe
Le Gîte du Prieuré;Gîte de groupe;;1 place du Pilori;;;49170;LA POSSONNIERE;;49247;47.373946;-0.685141;;06 89 30 49 62;;;;;;;;;Non classé;WiFi;;;;non;Cuisine professionnelle,Salle de réception,Terrain clos;;;;Anglais;Fourniture de linge (gratuit),Option nettoyage / ménage;oui;;6;1;12;17;non;oui;;||06 89 30 49 62||gite-prieure@orange.fr;;;;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL049V50AQ9C;47.373946, -0.685141;Maine-et-Loire
CHATEAU DU LATTAY;Gîte de groupe;Le chateau du Lattay;;;;53240;ANDOUILLE;;53005;48.1662699;-0.7953576;;06 63 42 93 79;;;;http://www.lechateaudulattay.fr;;;;;Non classé;Piscine,WiFi;;;;non;Cuisine professionnelle,Salle de réception,Terrain clos;;;;Français;;oui;;;;50;50;;oui;;M. et Mme RENE||06 63 42 93 79||contact@lechateaudulattay.fr;;;Forfait location privative de l'hébergement||3700,00||5700,00||;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL053V503AXV;48.1662699, -0.7953576;Mayenne
Gîtes au Château de Chambiers;Gîte de groupe;Chateau de Chambiers;;2147 Route de Chambiers;Route de Beauvau;49430;DURTAL;;49127;47.6445207;-0.2472929;Autoroute||A11, Sortie n°11||3;;02 41 76 07 31;;;https://www.chateauchambiers.com/;Facebook||https://www.facebook.com/chateaudechambiers,Instagram||https://www.instagram.com/chateauchambiers/?hl=fr;;;;Non classé;Climatisation,Piscine,WiFi;oui;animaux de petite taille et bien éduqués.;;non;Parking;;;;Anglais,Français;Location de draps,Location de linge,Option nettoyage / ménage;oui;8;7;2;21;26;non;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Anne CROUAN||02 41 76 07 31||info@chateauchambiers.com;non;Airbnb||||||02 41 76 07 31||info@chateauchambiers.com;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL044V515O8B;47.6445207, -0.2472929;Maine-et-Loire
GITE LA LISIÈRE DE BERCÉ;Gîte de groupe;16 route de Tours;lieu dit Laillé;;;72220;MARIGNE-LAILLE;;72187;47.7924621;0.33729818;Autoroute||A28||5;0620063352;;;;;;;;;1 étoile;;oui;;;non;Cuisine professionnelle,Parking,Plain pied,Salle de réception,Terrain clos;;;;Français;Location de draps,Location de linge,Option nettoyage / ménage;oui;8;10;1;40;100;;oui;;||06 20 06 33 52||martine.leroux72@orange.fr;;;Forfait location privative de l'hébergement||||||on loue le gîte du vendredi au lundi:1500 euros,options possible : ménage ( les 2 salles et la cuisine) 150 euros,location de draps blancs ( lits fait et ménage des chambres après le séjour ) 250 euros,,,;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL072V50BWJG;47.7924621, 0.33729818;Sarthe
Château de la Chauvinière jusqu'à 100 pers.;Maison familiale;;;;;53140;PRE-EN-PAIL-SAINT-SAMSON;;53185;48.4556977;-0.2261754;Autoroute||||25,Aéroport/aérodrome||||60,Gare SNCF||Alençon||30;;02 43 03 87 77;;;www.mfr-pre-en-pail.fr;;;;;;;;;;non;Cuisine professionnelle,Parking,Salle de réception;;;;;Prestation de restauration;;;30;;100;100;;oui;;;;;;Chèques bancaires et postaux;;;;;;;;;;;HCOLLPDL053V50A3P7;48.4556977, -0.2261754;Mayenne
Gîte des Faluères;Gîte de groupe,Gîte d'étapes;;;La Grande Faluère;;53000;LAVAL;53000;53130;48.0648936;-0.7376629;Aéroport/aérodrome||Laval Entrammes||4,Route (nationale/départ.)||Gite des Faluères||0,5,Itinéraire de randonnée||gite des faluères||1,Route (nationale/départ.)||||0,5,Autoroute||A81||5,||gare SNCF de Laval||2,Halte fluviale||Laval||3;;02.43.56.00.83;;;http://www.gitedesfalueres.fr;;;;;Non classé;Garage,Local vélo,WiFi;oui;Animaux acceptés sur demande;;non;Cuisine professionnelle,Garage,Parking,Plain pied,Salle de réception,Terrain clos;;;;Anglais,Espagnol,Français;Fourniture de linge (gratuit),Location de draps,Option nettoyage / ménage;oui;4;4;1;10;49;;oui;;;;;Nuitée / pers||20,00||35,00||,Forfait week-end / pers||700,00||800,00||,Taxe de séjour / nuit / pers||0,70||0,70||;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HLOPDL0530238364;48.0648936, -0.7376629;Mayenne
Hébergement groupes Lycée Charles Péguy;Gîte de groupe;;;3 rue de la Sèvre;;44190;GORGES;;44064;47.1039432;-1.302354;Gare SNCF||Arrêt en gare de Gorges||0,5,Autoroute||Montaigu||17,Aéroport/aérodrome||Aéroport de Nantes Atlantique||30,Route (nationale/départ.)||Nantes||30,Route (nationale/départ.)||Cholet||40,Route (nationale/départ.)||La Roche Sur Yon||50;;02 40 54 48 00;;;http://www.charles-peguy.net;Facebook||https://www.facebook.com/Lyc%C3%A9e-Charles-P%C3%A9guy-et-P%C3%B4le-%C3%A9questre-du-Bois-Tillac-186536325101104/;https://www.youtube.com/watch?v=M542lTRa0zo;;;Non classé;Défibrillateur,WiFi;non;;;non;Parking,Salle de réception,Terrain clos;;;;Allemand,Anglais,Espagnol,Français;Fourniture de draps (gratuit),Option nettoyage / ménage,Prestation de restauration;oui;3;60;60;168;168;non;oui;;Brin Céline||02 40 54 48 00||celine.brin@charles-peguy.net;;;Nuitée / hébergement||39,00||45,00||Literie jetable fournie : housse de matelas et taie d'oreiller.,Taxe de séjour / nuit / pers||0,55||||Taxe de séjour soumise aux +18 ans et hors résidents du vignoble nantais.;Cartes bancaires,Chèques bancaires et postaux,Virement;;;;;;;;;;;HCOLLPDL044V504I51;47.1039432, -1.302354;Loire-Atlantique
Hébergement de groupe - Le Relais Le Bocage;Centre d'accueil et/ou de vacances,Maison familiale;;;2 rue de Mausson;;53220;PONTMAIN;;53181;48.4405578;-1.0584779;Gare SNCF||ERNEE||20,Autoroute||LAVAL||45,Route (nationale/départ.)||||0,Gare routière||ERNEE ou FOUGERES||20,Transport en commun||ERNEE ou FOUGERES||20,Aéroport/aérodrome||RENNES||70;;02 43 30 26 00;;;https://www.relaislebocage.com/;Facebook||https://www.facebook.com/relaislebocage/,Instagram||https://www.instagram.com/relaislebocage/;;;;Non classé;Local vélo,WiFi;oui;;;non;Parking,Plain pied,Salle de réception;;;;Anglais,Français,Italien;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Prestation de restauration;oui;4;65;65;180;200;non;oui;01/01/2025||30/11/2025||Tous les jours 8h30 - 18h30 (Dimanche et jours fériés fermeture à 17h)||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,12/01/2026||29/11/2026||Tous les jours 8h30 - 18h30 (Dimanche et jours fériés fermeture à 17h)||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;JEUSSELIN||02 43 30 26 00||reception@relaislebocage.fr;;;Nuitée / pers||32,20||55,60||,Petit-déjeuner / pers||9,00||||,Taxe de séjour / nuit / pers||1,50||||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLLPDL053V50013I;48.4405578, -1.0584779;Mayenne
GÎTE DE GROUPE LE RUCHOT;Gîte de groupe;;;Les maisons neuves;Commune de Blandouet;53270;BLANDOUET-SAINT JEAN;;53228;48.0696134;-0.2936759;Gare SNCF||Evron||12,Autoroute||Péage de Vaiges/Évron - A81 - Sortie N°2||15,5;06 95 87 94 15;;;;;;;;;Non classé;WiFi;oui;;;non;Cuisine professionnelle,Parking,Plain pied,Salle de réception;;;;Anglais,Français;Location de draps,Location de linge,Option nettoyage / ménage,Prestation de restauration;oui;;15;2;;70;;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;LES GITES DE LA CHARNIE SAS||06 95 87 94 15||info@gites-charnie.com;;;Forfait location privative de l'hébergement||1495,00||3495,00||Location le Week-end;Chèques bancaires et postaux,Chèques Vacances,Virement;;;;;;;;;;;HCOLLPDL053V5037KK;48.0696134, -0.2936759;Mayenne
CENTRE LA CHARNIE - PEP 53;Centre d'accueil et/ou de vacances;;;2, rue du Verger;2 Rue du Verger;53270;TORCE-VIVIERS-EN-CHARNIE;;53265;48.0982943;-0.2645927;Gare SNCF||Evron||15,Autoroute||A81 Laval-Le Mans, sortie 1 Sablé ||15;;02 43 90 40 73;;;https://www.pep53.org/la-charnie-53;Facebook||https://www.facebook.com/associationdespep53/,Instagram||https://www.instagram.com/lespep53/,||https://www.linkedin.com/in/pep-de-la-mayenne-755a472ba/,Twitter||https://x.com/lespep53;;;;Non classé;WiFi;non;;;non;Cuisine professionnelle,Parking,Plain pied,Salle de réception;UNAT;;;Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage / ménage,Prestation de restauration;oui;6;12;1;80;80;non;oui;;M. DAGAN Erwan||02 43 53 41 41||centrelacharnie1@lespep53.org;;;Nuitée / pers||45,00||60,00||,Forfait location privative de l'hébergement||1200,00||2200,00||;Chèques bancaires et postaux,Chèques Vacances,Virement;;;;;;;;;;;HCOLLPDL053V5000EJ;48.0982943, -0.2645927;Mayenne
Gîte de groupe - Le Manoir des Loges;Gîte de groupe;;;Le Manoir des Loges;;53300;AMBRIERES-LES-VALLEES;;53003;48.391242;-0.6482956;Gare SNCF||Laval||45,6,Gare routière||Laval||45,6,Route (nationale/départ.)||D23||1,8,Autoroute||A81||42,1;06 09 03 59 70;;;;https://www.manoirdesloges.fr/;;;;;Non classé;Local vélo;non;;;non;Parking,Salle de réception,Terrain clos;;;;Anglais,Espagnol,Français;;oui;;9;;23;23;non;non;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;M et Mme HAMON-CHAFFOTEAUX ||06 09 03 59 70||contact@manoirdesloges.fr;;;Forfait location privative de l'hébergement||2200,00||2800,00||Forfait Mariage : 2 nuits du vendredi matin au dimanche soir,ménage inclus,150 € par journée supplémentaire;Chèques bancaires et postaux,Chèques Vacances;;;;;;;;;;;HCOLLPDL053V5019EA;48.391242, -0.6482956;Mayenne
Gîte de Cigné;;;;68 rue du Bocage;Cigné;53300;AMBRIERES-LES-VALLEES;;53003;48.4252829;-0.6068506;Gare SNCF||Laval||48,3,Gare routière||Laval||48,3,Route (nationale/départ.)||D33||3,1,Autoroute||A81||44,7;;02 53 95 65 02;;;http://www.ambriereslesvallees.mairie53.fr/;;;;;Non classé;;;;;non;Parking;;;;;;oui;22;3;;22;22;non;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Forfait location privative de l'hébergement||262,00||||;Chèques bancaires et postaux,Espèces;;;;;;;;;;;HCOLL873180221;48.4252829, -0.6068506;Mayenne
